Employee ID,Age,Department,Position,Salary,Joining Date,Performance,Location,Education,Manager ID,Years in Company,Gender
31,47,Sales,Intern,122388,2020-02-24,Excellent,Los Angeles,PhD,3000,1,Male
32,52,Marketing,Senior,57437,2015-03-19,Average,New York,Master's,4942,17,Male
33,25,Sales,Intern,74099,2017-07-31,Excellent,New York,Master's,4710,12,Female
34,44,Engineering,Intern,93321,2015-11-12,Average,Dallas,Master's,5632,4,Female
35,26,Sales,Manager,110904,2016-10-17,Excellent,New York,Bachelor's,9033,10,Male
36,27,Sales,Junior,68807,2023-02-14,Good,Chicago,PhD,273,10,Male
37,41,HR,Intern,136137,2020-11-24,Below Average,Chicago,Master's,6556,13,Female
38,31,Marketing,Senior,120492,2014-07-22,Average,Dallas,Bachelor's,3949,10,Female
39,33,Marketing,Senior,130970,2017-07-09,Below Average,Dallas,Master's,6949,15,Male
40,44,Finance,Junior,145361,2018-08-22,Good,New York,Bachelor's,1025,8,Male
41,47,Marketing,Senior,80706,2024-12-21,Good,Dallas,Master's,5307,0,Female
42,45,Finance,Manager,109023,2013-07-18,Below Average,Los Angeles,Master's,1858,0,Female
43,45,HR,Senior,57264,2016-03-10,Below Average,Dallas,PhD,9815,1,Male
44,64,Finance,Manager,143452,2020-12-28,Average,Los Angeles,Bachelor's,7113,18,Female
45,33,Finance,Manager,49779,2017-06-17,Average,Los Angeles,High School,1126,18,Male
46,25,Marketing,Junior,42623,2024-06-05,Excellent,Dallas,Master's,4274,20,Female
47,60,Sales,Senior,63225,2010-03-15,Average,Dallas,Bachelor's,1492,8,Female
48,44,HR,Junior,85752,2012-10-22,Below Average,Chicago,PhD,8218,8,Female
49,25,Marketing,Intern,49036,2019-11-20,Excellent,Chicago,High School,5620,0,Female
50,22,Sales,Intern,53154,2022-05-15,Excellent,San Francisco,Master's,5900,17,Male
51,28,Finance,Intern,107082,2018-02-21,Below Average,San Francisco,PhD,7346,4,Female
52,46,Finance,Junior,131885,2014-07-05,Below Average,Dallas,PhD,3033,11,Female
53,44,Finance,Senior,124824,2016-10-23,Below Average,Chicago,Bachelor's,1222,0,Female
54,58,Engineering,Junior,128661,2011-09-15,Good,Chicago,PhD,6356,10,Male
55,23,Engineering,Manager,82241,2020-09-08,Excellent,Los Angeles,PhD,9269,19,Female
56,27,HR,Senior,135163,2019-07-23,Average,Chicago,PhD,3188,5,Female
57,40,Finance,Junior,135652,2012-10-01,Average,Chicago,Bachelor's,4389,15,Male
58,32,Engineering,Manager,38171,2011-12-02,Good,San Francisco,Master's,7691,13,Female
59,60,Sales,Manager,72537,2017-02-01,Average,San Francisco,Bachelor's,5498,3,Female
60,24,HR,Junior,142210,2018-08-16,Good,Dallas,High School,88,4,Female
61,65,Marketing,Senior,141233,2021-06-12,Excellent,Los Angeles,PhD,342,0,Male
62,35,Engineering,Manager,136283,2014-10-18,Below Average,New York,Bachelor's,3817,19,Male
63,64,Finance,Manager,138866,2018-06-16,Below Average,Dallas,Master's,5369,16,Male
64,42,Finance,Intern,58029,2022-12-13,Excellent,Los Angeles,High School,5725,15,Male
65,53,Finance,Intern,86959,2016-06-19,Below Average,Chicago,Bachelor's,6970,18,Female
66,32,Finance,Manager,126079,2014-12-31,Good,Chicago,PhD,2819,7,Male
67,33,Sales,Manager,146921,2024-08-10,Below Average,Chicago,Master's,4166,4,Male
68,49,Engineering,Manager,117751,2011-11-01,Below Average,New York,High School,1502,11,Female
69,48,Marketing,Junior,132614,2015-11-12,Good,Chicago,Bachelor's,6651,8,Female
70,39,Engineering,Junior,122251,2015-09-28,Average,Chicago,PhD,8889,7,Female
71,49,Engineering,Senior,75340,2015-06-16,Average,Dallas,High School,5149,2,Male
72,48,Engineering,Senior,48627,2021-06-20,Excellent,San Francisco,PhD,7672,1,Female
73,32,Engineering,Junior,105932,2024-01-07,Excellent,Dallas,Bachelor's,5648,19,Female
74,42,Marketing,Senior,48353,2024-01-24,Good,New York,High School,3650,13,Female
75,52,HR,Manager,98411,2021-12-19,Excellent,Los Angeles,PhD,5504,12,Male
76,22,Engineering,Junior,71076,2017-08-28,Average,Los Angeles,High School,8495,8,Female
77,59,Engineering,Intern,116833,2023-03-15,Excellent,Chicago,Bachelor's,6363,7,Male
78,44,Engineering,Manager,102752,2017-07-27,Below Average,San Francisco,High School,4911,14,Male
79,45,Engineering,Junior,68238,2012-01-07,Excellent,San Francisco,Master's,1755,13,Female
80,57,Engineering,Junior,83560,2024-12-01,Excellent,Chicago,High School,5491,2,Female
81,44,Engineering,Senior,100703,2014-05-22,Good,Los Angeles,Master's,3337,17,Male
82,57,Engineering,Senior,30068,2010-04-18,Excellent,Dallas,Master's,8947,1,Male
83,38,Marketing,Manager,35591,2014-02-14,Excellent,New York,High School,5422,17,Male
84,33,Sales,Intern,89165,2022-09-27,Excellent,Chicago,PhD,1397,5,Female
85,45,Marketing,Senior,109379,2014-11-02,Good,Los Angeles,High School,6712,12,Female
86,28,Marketing,Junior,125934,2013-07-20,Good,Chicago,PhD,2570,7,Female
87,37,Marketing,Junior,116403,2017-02-11,Below Average,Los Angeles,PhD,3981,9,Female
88,63,HR,Junior,142027,2021-10-25,Good,San Francisco,Master's,1573,17,Male
89,32,HR,Manager,120297,2021-01-24,Average,New York,PhD,2079,10,Female
90,61,Engineering,Senior,34742,2014-07-26,Good,Dallas,Master's,8348,4,Female
91,64,HR,Senior,56928,2024-02-16,Below Average,New York,Master's,1364,18,Male
92,33,Engineering,Manager,86651,2011-11-01,Good,New York,PhD,5526,5,Female
93,29,Sales,Intern,83796,2019-08-31,Below Average,Chicago,Bachelor's,6771,2,Male
94,34,Engineering,Senior,123395,2021-05-06,Good,San Francisco,Bachelor's,7229,4,Male
95,24,HR,Manager,104751,2018-09-22,Below Average,New York,PhD,4739,10,Female
96,60,HR,Senior,74702,2022-02-08,Below Average,Los Angeles,High School,9291,4,Male
97,31,Sales,Junior,50839,2010-06-03,Average,San Francisco,Bachelor's,1458,5,Male
98,34,Finance,Intern,34416,2015-07-22,Good,Chicago,Master's,3492,10,Female
99,52,Finance,Manager,125994,2012-09-09,Average,Chicago,High School,330,11,Male
100,53,Engineering,Junior,37920,2022-04-16,Good,Los Angeles,PhD,9987,8,Female
101,51,HR,Senior,62566,2012-03-07,Below Average,Dallas,PhD,8548,6,Female
102,50,Engineering,Junior,112692,2022-04-18,Good,Los Angeles,Bachelor's,1699,13,Female
103,55,HR,Senior,116347,2024-06-29,Below Average,Los Angeles,High School,82,17,Female
104,59,Finance,Manager,138946,2024-08-01,Good,New York,High School,10,8,Male
105,28,Engineering,Junior,128248,2016-05-17,Below Average,Dallas,Bachelor's,2846,12,Female
106,41,Sales,Junior,36037,2019-03-04,Below Average,San Francisco,Bachelor's,8382,1,Female
107,60,Sales,Senior,109819,2015-11-16,Average,New York,Bachelor's,7090,11,Female
108,60,Finance,Senior,89640,2014-12-10,Below Average,Dallas,PhD,3295,17,Male
109,27,Sales,Senior,68115,2020-10-08,Excellent,Dallas,High School,6547,18,Female
110,55,HR,Manager,43379,2014-02-24,Below Average,San Francisco,Master's,2183,3,Male
111,44,Marketing,Intern,58621,2019-11-26,Good,San Francisco,Bachelor's,2003,6,Female
112,60,Finance,Junior,40544,2024-03-02,Below Average,Dallas,PhD,1003,8,Female
113,40,Marketing,Manager,53433,2014-10-23,Below Average,Dallas,PhD,8467,4,Male
114,34,HR,Junior,56887,2013-02-17,Excellent,New York,PhD,6815,15,Male
115,38,HR,Junior,32018,2022-09-24,Good,Los Angeles,PhD,4671,17,Male
116,33,Marketing,Junior,93895,2015-03-12,Average,Los Angeles,Bachelor's,2243,10,Female
117,61,Finance,Intern,126217,2012-10-19,Excellent,Chicago,Bachelor's,104,20,Male
118,53,Sales,Junior,57175,2013-04-22,Excellent,San Francisco,Bachelor's,3379,13,Female
119,31,Engineering,Manager,91788,2011-01-24,Below Average,Dallas,Bachelor's,4705,10,Male
120,24,Engineering,Manager,141061,2021-01-03,Good,Los Angeles,PhD,1617,4,Female
121,30,Marketing,Intern,91172,2011-03-03,Good,Chicago,Bachelor's,5271,18,Male
122,23,HR,Intern,70340,2022-03-02,Average,New York,High School,1583,15,Male
123,32,Sales,Senior,135252,2016-11-19,Good,Los Angeles,High School,2115,19,Male
124,30,HR,Senior,111635,2013-11-24,Average,New York,PhD,7137,8,Male
125,56,Finance,Manager,69030,2020-07-06,Below Average,Los Angeles,PhD,2937,17,Male
126,31,Engineering,Intern,77056,2013-06-01,Excellent,Dallas,Master's,502,10,Male
127,43,Sales,Manager,141546,2016-04-07,Average,Dallas,PhD,488,17,Male
128,36,Marketing,Senior,43049,2022-06-16,Excellent,Chicago,Master's,8460,9,Female
129,25,Engineering,Manager,47161,2023-08-04,Below Average,Chicago,Bachelor's,5354,1,Female
130,30,Sales,Junior,139773,2022-05-14,Excellent,New York,Master's,2798,6,Female
131,52,Sales,Intern,110580,2016-11-05,Average,New York,PhD,2721,1,Female
132,53,Sales,Junior,36096,2020-10-22,Good,San Francisco,High School,6610,6,Male
133,38,Sales,Intern,130467,2010-10-10,Average,Chicago,High School,9091,1,Female
134,29,Engineering,Intern,75708,2021-11-09,Good,Chicago,Master's,9557,17,Female
135,49,Finance,Intern,82632,2012-03-17,Below Average,New York,PhD,9987,15,Female
136,23,Engineering,Senior,144016,2018-05-05,Average,Los Angeles,Master's,6138,20,Male
137,59,Marketing,Manager,95962,2021-12-19,Below Average,San Francisco,Bachelor's,2624,2,Male
138,59,Finance,Intern,78885,2019-05-04,Below Average,Los Angeles,Bachelor's,8223,6,Male
139,27,Engineering,Junior,117243,2015-02-24,Excellent,Los Angeles,Bachelor's,4249,0,Female
140,51,Sales,Intern,99696,2019-12-08,Average,Los Angeles,Master's,9573,1,Male
141,58,Finance,Manager,125940,2022-01-03,Good,Chicago,PhD,543,12,Male
142,51,Engineering,Senior,77105,2012-06-15,Average,Chicago,Bachelor's,9660,20,Male
143,55,Finance,Senior,49477,2024-09-18,Average,Los Angeles,Bachelor's,925,13,Male
144,50,Sales,Senior,70256,2020-12-10,Below Average,San Francisco,High School,4766,15,Female
145,33,Finance,Junior,118713,2024-08-12,Below Average,New York,Bachelor's,3319,6,Female
146,62,Finance,Manager,139789,2020-12-09,Good,New York,Master's,4342,7,Male
147,44,Engineering,Junior,102381,2019-05-14,Good,Dallas,Master's,3911,17,Female
148,33,Engineering,Senior,46892,2016-04-22,Excellent,San Francisco,Master's,1857,12,Female
149,32,Marketing,Junior,134813,2024-02-27,Excellent,Dallas,Master's,5369,10,Female
150,46,HR,Manager,111644,2015-08-01,Average,Los Angeles,PhD,9986,9,Male
151,26,Sales,Intern,137103,2023-09-03,Average,San Francisco,Master's,3636,11,Female
152,38,Finance,Manager,68132,2014-05-19,Good,Chicago,Bachelor's,4719,8,Female
153,40,Engineering,Intern,131998,2019-08-06,Average,San Francisco,Bachelor's,3017,2,Female
154,48,Sales,Intern,115242,2022-01-02,Excellent,Los Angeles,PhD,8092,1,Female
155,53,HR,Manager,35979,2015-06-19,Excellent,Chicago,PhD,4464,8,Female
156,39,Finance,Senior,87382,2010-05-24,Good,New York,Master's,6716,16,Male
157,63,HR,Manager,143347,2010-03-16,Average,San Francisco,Bachelor's,6319,10,Female
158,56,Sales,Senior,128507,2017-09-15,Good,San Francisco,Master's,8567,14,Female
159,32,Marketing,Senior,32337,2013-10-14,Average,Chicago,Bachelor's,3466,18,Male
160,42,Marketing,Junior,39139,2018-04-29,Excellent,Dallas,PhD,837,11,Male
161,54,HR,Junior,50801,2020-09-28,Average,Chicago,PhD,8843,2,Female
162,46,Engineering,Manager,64185,2014-02-23,Below Average,New York,Master's,2795,3,Female
163,31,HR,Manager,149622,2018-02-26,Average,Los Angeles,Master's,7499,16,Male
164,55,Finance,Senior,138820,2017-06-07,Excellent,New York,Bachelor's,8521,6,Female
165,24,HR,Senior,101242,2024-11-06,Below Average,New York,High School,9805,0,Female
166,47,Sales,Junior,99109,2012-09-10,Excellent,Dallas,High School,4903,1,Male
167,41,HR,Manager,139756,2016-10-14,Excellent,Chicago,PhD,986,10,Female
168,44,Marketing,Senior,141418,2012-03-14,Below Average,San Francisco,PhD,3337,6,Female
169,49,Engineering,Senior,52880,2020-10-20,Average,New York,Master's,7312,20,Male
170,58,Finance,Senior,40016,2022-09-02,Excellent,Dallas,Master's,8287,8,Male
171,25,Sales,Manager,115699,2023-10-02,Below Average,Dallas,Bachelor's,2460,18,Female
172,40,Finance,Manager,77609,2021-05-16,Good,Chicago,PhD,6418,15,Female
173,48,Sales,Senior,56752,2020-02-28,Good,New York,High School,1002,10,Female
174,25,Engineering,Manager,102062,2014-04-02,Average,Chicago,Bachelor's,8323,11,Female
175,41,Marketing,Intern,116155,2014-01-12,Excellent,New York,High School,7944,18,Male
176,27,Sales,Intern,35506,2011-02-17,Good,Los Angeles,PhD,2030,10,Female
177,41,HR,Manager,50211,2013-03-09,Average,San Francisco,Bachelor's,4586,13,Male
178,56,HR,Senior,40387,2022-05-10,Good,Chicago,PhD,602,8,Female
179,45,Sales,Junior,33572,2023-08-14,Average,San Francisco,PhD,8957,18,Male
180,37,Engineering,Manager,51505,2023-04-01,Excellent,Los Angeles,Master's,3367,5,Male
181,42,HR,Manager,89706,2018-07-17,Good,Los Angeles,High School,9413,12,Male
182,36,Sales,Manager,149307,2012-12-22,Excellent,San Francisco,PhD,1265,17,Female
183,40,Engineering,Intern,129352,2016-01-21,Good,New York,Master's,1777,7,Male
184,50,HR,Intern,147428,2019-08-13,Below Average,Los Angeles,High School,1689,11,Female
185,24,Engineering,Junior,104236,2010-01-29,Good,New York,PhD,6869,3,Female
186,53,Sales,Manager,106515,2015-08-25,Excellent,New York,Bachelor's,2738,10,Female
187,62,HR,Junior,54968,2023-05-04,Good,San Francisco,Bachelor's,5548,16,Male
188,29,Finance,Senior,139266,2022-01-25,Good,San Francisco,Master's,5862,17,Female
189,60,Finance,Intern,44273,2017-04-14,Good,Los Angeles,High School,7582,8,Male
190,51,HR,Senior,136996,2024-12-04,Below Average,Los Angeles,PhD,9047,7,Male
191,63,HR,Junior,143676,2023-02-17,Average,New York,Master's,6365,10,Male
192,43,Sales,Manager,75812,2016-06-09,Good,San Francisco,High School,6598,4,Female
193,32,Engineering,Junior,30720,2018-07-26,Excellent,New York,Bachelor's,1994,10,Female
194,50,Sales,Senior,66279,2016-11-18,Good,Dallas,High School,9807,18,Female
195,54,Engineering,Manager,88019,2020-01-08,Excellent,San Francisco,High School,6639,9,Male
196,36,Marketing,Junior,56828,2023-05-31,Excellent,Los Angeles,Bachelor's,5066,10,Male
197,48,Engineering,Senior,139523,2016-09-01,Average,New York,High School,4764,5,Female
198,35,Engineering,Intern,31277,2015-12-06,Average,San Francisco,Bachelor's,5591,5,Female
199,36,HR,Manager,57725,2010-04-02,Good,San Francisco,High School,9710,19,Male
200,55,Marketing,Senior,136470,2013-07-06,Below Average,Chicago,Bachelor's,6024,13,Male
201,47,Sales,Intern,93823,2021-12-29,Good,Chicago,High School,3284,16,Male
202,48,Sales,Manager,51772,2013-05-22,Average,Dallas,Bachelor's,763,3,Female
203,58,Engineering,Manager,127816,2020-09-23,Excellent,Los Angeles,PhD,3974,14,Male
204,45,Engineering,Senior,64263,2016-02-10,Below Average,Los Angeles,PhD,1677,6,Female
205,29,Marketing,Senior,36873,2016-06-03,Good,Los Angeles,PhD,932,15,Male
206,49,Finance,Intern,116727,2014-12-06,Good,New York,PhD,9578,1,Female
207,33,Marketing,Senior,87571,2023-04-12,Below Average,New York,PhD,4086,12,Male
208,22,Engineering,Junior,80246,2015-01-23,Excellent,Los Angeles,High School,5098,5,Female
209,46,HR,Junior,65544,2017-04-03,Good,San Francisco,High School,7993,1,Female
210,50,HR,Intern,147442,2011-07-12,Excellent,Dallas,PhD,1459,3,Female
211,61,Sales,Manager,127103,2018-02-11,Excellent,New York,High School,47,19,Male
212,32,HR,Intern,75915,2014-04-25,Average,Chicago,Bachelor's,8159,9,Male
213,25,Engineering,Junior,52108,2016-03-26,Below Average,San Francisco,Master's,4687,8,Female
214,45,Engineering,Intern,88916,2024-07-23,Below Average,San Francisco,Bachelor's,6202,9,Male
215,41,Sales,Intern,68985,2014-11-25,Below Average,Los Angeles,Bachelor's,519,13,Male
216,48,Engineering,Manager,110504,2015-06-08,Below Average,Dallas,Bachelor's,8393,16,Male
217,62,HR,Intern,124068,2013-05-30,Good,Dallas,Master's,2335,12,Male
218,60,Marketing,Senior,45869,2019-04-16,Below Average,New York,High School,5780,16,Female
219,64,HR,Manager,83142,2019-03-09,Below Average,San Francisco,PhD,2650,0,Male
220,27,Marketing,Junior,131538,2017-10-11,Excellent,Chicago,High School,776,6,Male
221,48,Marketing,Intern,52052,2015-01-04,Below Average,Los Angeles,Master's,7188,15,Female
222,62,Sales,Junior,83734,2018-05-18,Average,Dallas,High School,6530,13,Male
223,54,Marketing,Junior,125026,2010-04-14,Below Average,Dallas,PhD,9699,14,Female
224,54,Marketing,Intern,63153,2017-10-23,Average,Chicago,High School,6612,11,Female
225,42,HR,Junior,130848,2021-11-12,Average,Chicago,Bachelor's,6928,11,Male
226,63,Engineering,Manager,148687,2017-03-29,Excellent,Los Angeles,Bachelor's,4647,9,Male
227,54,Marketing,Junior,50764,2022-04-30,Average,Los Angeles,Bachelor's,7059,2,Male
228,54,Sales,Senior,144671,2011-07-25,Below Average,San Francisco,Master's,7702,1,Male
229,37,Sales,Manager,35265,2017-09-12,Below Average,Dallas,Bachelor's,2582,20,Male
230,56,Engineering,Senior,31513,2011-08-01,Below Average,Dallas,High School,3707,10,Female
231,65,Marketing,Manager,125508,2012-01-03,Good,New York,Bachelor's,2727,11,Female
232,26,Finance,Junior,87720,2015-10-24,Excellent,Los Angeles,High School,6639,14,Female
233,60,Finance,Senior,147262,2018-05-25,Good,Los Angeles,High School,8994,2,Male
234,31,Sales,Senior,55708,2012-08-30,Good,San Francisco,Bachelor's,3894,17,Male
235,45,Finance,Manager,88232,2013-10-18,Average,New York,PhD,6161,8,Female
236,40,Finance,Intern,47823,2022-05-24,Excellent,New York,High School,4817,1,Male
237,57,Finance,Senior,77403,2017-04-23,Below Average,Los Angeles,Bachelor's,1551,15,Male
238,38,Marketing,Intern,81676,2023-12-25,Excellent,Chicago,Bachelor's,199,15,Male
239,65,Finance,Senior,117287,2024-05-13,Good,San Francisco,PhD,3351,5,Female
240,33,Finance,Intern,67304,2010-01-24,Average,New York,Master's,7873,11,Male
241,31,Engineering,Manager,78472,2016-04-01,Below Average,Dallas,Master's,984,20,Male
242,41,HR,Senior,40799,2017-01-28,Excellent,Dallas,Bachelor's,4718,4,Female
243,36,Finance,Intern,107972,2010-10-23,Good,Dallas,High School,9028,1,Female
244,48,Engineering,Junior,82504,2015-08-28,Excellent,San Francisco,Bachelor's,8677,6,Female
245,49,Marketing,Senior,69315,2015-11-25,Average,Dallas,Master's,526,19,Male
246,41,HR,Senior,145825,2013-06-11,Below Average,San Francisco,Master's,6354,13,Male
247,46,HR,Manager,101268,2012-07-28,Good,San Francisco,PhD,1738,14,Female
248,59,Marketing,Intern,78548,2010-10-03,Good,Los Angeles,PhD,2589,12,Male
249,35,Sales,Intern,43757,2021-01-28,Good,Chicago,Bachelor's,4212,6,Male
250,63,Marketing,Junior,115188,2018-10-02,Good,Chicago,High School,9355,1,Female
251,25,Sales,Junior,41504,2020-06-10,Below Average,Chicago,Master's,2769,19,Female
252,52,Sales,Junior,68583,2015-01-07,Below Average,New York,PhD,8475,14,Female
253,32,Finance,Senior,66129,2020-06-23,Below Average,Chicago,Bachelor's,5980,17,Female
254,22,Finance,Senior,129847,2018-11-16,Excellent,San Francisco,High School,417,3,Male
255,65,Finance,Senior,53635,2012-09-30,Average,Los Angeles,High School,1325,15,Female
256,35,Finance,Senior,71602,2020-02-04,Good,San Francisco,PhD,9602,8,Male
257,64,Sales,Intern,142754,2013-07-24,Good,San Francisco,Master's,895,17,Female
258,36,Marketing,Intern,35289,2022-05-16,Good,Chicago,High School,7534,19,Male
259,46,Finance,Junior,59271,2015-08-20,Average,New York,High School,7185,9,Female
260,52,Sales,Manager,120876,2017-05-11,Excellent,Dallas,Bachelor's,5018,8,Female
261,48,Sales,Manager,91100,2024-06-08,Excellent,New York,PhD,8268,6,Female
262,33,Engineering,Senior,58421,2017-10-20,Excellent,San Francisco,High School,7150,14,Female
263,29,Engineering,Manager,57332,2022-10-15,Good,Dallas,PhD,8994,17,Female
264,28,Finance,Senior,78553,2022-07-10,Below Average,Chicago,High School,3210,3,Female
265,31,Marketing,Intern,49657,2020-08-13,Excellent,Dallas,High School,2407,2,Male
266,55,Engineering,Manager,82451,2021-12-24,Excellent,Los Angeles,Master's,6915,1,Female
267,49,Finance,Manager,64734,2015-03-29,Good,Chicago,Bachelor's,9356,14,Female
268,44,HR,Intern,71790,2021-07-15,Good,Los Angeles,Bachelor's,197,3,Female
269,22,Sales,Intern,127736,2010-12-22,Average,Los Angeles,Master's,1919,12,Female
270,35,Sales,Senior,36323,2015-05-10,Good,Los Angeles,PhD,366,14,Female
271,42,Engineering,Manager,122390,2023-04-07,Average,Los Angeles,Master's,6504,18,Male
272,35,Finance,Intern,80752,2010-08-12,Excellent,San Francisco,PhD,3406,12,Male
273,64,Finance,Senior,57701,2015-05-28,Excellent,San Francisco,Master's,7290,2,Female
274,53,Finance,Junior,128093,2023-05-21,Good,Chicago,PhD,6488,18,Female
275,31,Engineering,Junior,38004,2017-11-05,Good,New York,Master's,1218,2,Female
276,29,Engineering,Manager,92616,2023-10-17,Below Average,San Francisco,Bachelor's,1276,7,Male
277,32,Sales,Senior,67373,2018-12-23,Below Average,San Francisco,Bachelor's,9156,7,Female
278,49,Sales,Junior,98256,2020-04-25,Good,San Francisco,PhD,1980,8,Female
279,56,Marketing,Junior,72631,2015-12-30,Excellent,Chicago,PhD,9311,6,Male
280,37,Marketing,Manager,145075,2019-10-12,Good,Dallas,High School,6838,12,Female
281,44,Marketing,Manager,87593,2019-04-26,Average,Chicago,Master's,4883,12,Male
282,56,Finance,Junior,89407,2013-06-14,Good,New York,Bachelor's,8444,17,Male
283,34,Engineering,Senior,45894,2021-07-16,Good,Los Angeles,PhD,7071,12,Male
284,28,Finance,Manager,107873,2010-12-28,Average,Dallas,PhD,8987,16,Female
285,22,Sales,Junior,96875,2012-01-12,Excellent,Los Angeles,PhD,2130,2,Male
286,50,HR,Senior,55940,2015-09-29,Below Average,Los Angeles,PhD,8327,19,Female
287,42,Finance,Senior,54202,2012-05-26,Excellent,Dallas,PhD,2930,4,Male
288,49,Finance,Senior,73432,2017-07-05,Excellent,Dallas,Bachelor's,3346,20,Female
289,42,Marketing,Intern,68533,2015-03-25,Excellent,Dallas,Bachelor's,6342,20,Male
290,25,Finance,Junior,46646,2014-07-25,Good,San Francisco,High School,2303,0,Male
291,41,Engineering,Intern,130564,2015-01-12,Good,New York,Bachelor's,8123,7,Female
292,37,Sales,Senior,33936,2012-08-04,Good,San Francisco,High School,9515,14,Female
293,29,HR,Manager,62894,2021-11-15,Excellent,Chicago,Master's,3393,11,Male
294,40,Marketing,Senior,102650,2017-02-04,Average,Los Angeles,PhD,3672,9,Male
295,65,Sales,Junior,120350,2010-07-12,Average,Dallas,Master's,8738,10,Male
296,40,HR,Junior,33839,2019-10-10,Good,New York,Bachelor's,6432,10,Female
297,47,Marketing,Intern,131411,2023-10-25,Average,Chicago,Bachelor's,4744,13,Female
298,58,Sales,Manager,59042,2011-10-16,Excellent,Los Angeles,Bachelor's,4496,14,Female
299,25,Finance,Manager,137589,2024-06-22,Excellent,New York,Master's,9067,7,Male
300,44,Marketing,Senior,127390,2013-08-19,Below Average,New York,Bachelor's,5419,6,Female
301,48,Engineering,Manager,111048,2023-09-06,Good,Chicago,PhD,7953,18,Female
302,44,Finance,Manager,130466,2019-02-09,Average,New York,Bachelor's,9202,18,Male
303,47,Engineering,Junior,57701,2018-12-29,Excellent,Dallas,Master's,6540,20,Male
304,42,HR,Intern,126824,2019-10-12,Below Average,Los Angeles,High School,2592,8,Male
305,62,Sales,Manager,93055,2024-10-29,Good,Los Angeles,PhD,7993,10,Male
306,63,Engineering,Senior,33429,2012-08-29,Good,Dallas,High School,5508,10,Female
307,32,Finance,Intern,39227,2010-06-22,Average,San Francisco,Bachelor's,1673,10,Female
308,49,HR,Manager,44777,2017-12-15,Excellent,Dallas,PhD,9752,5,Male
309,28,Finance,Manager,126962,2021-01-20,Average,New York,Bachelor's,2851,4,Male
310,47,Finance,Senior,36727,2011-03-17,Below Average,Chicago,Master's,2270,9,Male
311,56,Engineering,Manager,53183,2015-07-31,Excellent,Dallas,High School,4460,12,Female
312,44,Finance,Junior,100146,2017-09-20,Below Average,New York,High School,2379,13,Male
313,24,Sales,Intern,123622,2015-03-24,Excellent,Los Angeles,Bachelor's,468,16,Female
314,51,Engineering,Intern,87972,2013-09-27,Below Average,San Francisco,Master's,6778,13,Female
315,46,Finance,Intern,101557,2023-08-19,Excellent,New York,High School,7201,13,Female
